Water level ,Time,Date
-1.6,10:30:00 AM,6/21/2022
-1.52,10:36:00 AM,6/21/2022
-1.53,10:42:00 AM,6/21/2022
-1.35,10:48:00 AM,6/21/2022
-1.27,10:54:00 AM,6/21/2022
-1.21,11:00:00 AM,6/21/2022
-1.17,11:06:00 AM,6/21/2022
-1.07,11:12:00 AM,6/21/2022
-0.99,11:18:00 AM,6/21/2022
-1.05,11:24:00 AM,6/21/2022
-1,11:30:00 AM,6/21/2022
-0.84,11:36:00 AM,6/21/2022
-0.73,11:42:00 AM,6/21/2022
-0.66,11:48:00 AM,6/21/2022
-0.55,11:54:00 AM,6/21/2022
-0.47,12:00:00 PM,6/21/2022
-0.42,12:06:00 PM,6/21/2022
-0.32,12:12:00 PM,6/21/2022
-0.22,12:18:00 PM,6/21/2022
-0.13,12:24:00 PM,6/21/2022
0.04,12:36:00 PM,6/21/2022
0.16,12:42:00 PM,6/21/2022
0.19,12:48:00 PM,6/21/2022
0.29,12:54:00 PM,6/21/2022
0.37,1:00:00 PM,6/21/2022
0.47,1:06:00 PM,6/21/2022
0.56,1:12:00 PM,6/21/2022
0.67,1:18:00 PM,6/21/2022
0.74,1:24:00 PM,6/21/2022
0.82,1:30:00 PM,6/21/2022
0.91,1:36:00 PM,6/21/2022
0.98,1:42:00 PM,6/21/2022
1.07,1:48:00 PM,6/21/2022
1.15,1:54:00 PM,6/21/2022
1.22,2:00:00 PM,6/21/2022
1.28,2:06:00 PM,6/21/2022
1.36,2:12:00 PM,6/21/2022
1.43,2:18:00 PM,6/21/2022
1.48,2:24:00 PM,6/21/2022
1.57,2:30:00 PM,6/21/2022
1.61,2:36:00 PM,6/21/2022
1.66,2:42:00 PM,6/21/2022
1.63,2:48:00 PM,6/21/2022
1.79,2:54:00 PM,6/21/2022
1.79,3:00:00 PM,6/21/2022
1.84,3:06:00 PM,6/21/2022
1.86,3:12:00 PM,6/21/2022
1.89,3:18:00 PM,6/21/2022
1.86,3:24:00 PM,6/21/2022
1.91,3:30:00 PM,6/21/2022
1.93,3:36:00 PM,6/21/2022
1.92,3:42:00 PM,6/21/2022
1.88,3:48:00 PM,6/21/2022
1.85,3:54:00 PM,6/21/2022
