Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality 
2024-03-21 00:00,0.592,0.002,0,0,0,0,v
2024-03-21 00:06,0.591,0.001,0,0,0,0,v
2024-03-21 00:12,0.584,0.001,0,0,0,0,v
2024-03-21 00:18,0.580,0.001,0,0,0,0,v
2024-03-21 00:24,0.567,0.001,0,0,0,0,v
2024-03-21 00:30,0.559,0.002,0,0,0,0,v
2024-03-21 00:36,0.545,0.004,0,0,0,0,v
2024-03-21 00:42,0.531,0.002,0,0,0,0,v
2024-03-21 00:48,0.518,0.002,0,0,0,0,v
2024-03-21 00:54,0.500,0.002,0,0,0,0,v
2024-03-21 01:00,0.484,0.002,0,0,0,0,v
2024-03-21 01:06,0.466,0.003,0,0,0,0,v
2024-03-21 01:12,0.445,0.003,0,0,0,0,v
2024-03-21 01:18,0.424,0.003,0,0,0,0,v
2024-03-21 01:24,0.402,0.003,0,0,0,0,v
2024-03-21 01:30,0.379,0.003,0,0,0,0,v
2024-03-21 01:36,0.361,0.003,0,0,0,0,v
2024-03-21 01:42,0.336,0.003,0,0,0,0,v
2024-03-21 01:48,0.308,0.004,0,0,0,0,v
2024-03-21 01:54,0.277,0.004,0,0,0,0,v
2024-03-21 02:00,0.249,0.004,0,0,0,0,v
2024-03-21 02:06,0.221,0.003,0,0,0,0,v
2024-03-21 02:12,0.195,0.004,0,0,0,0,v
2024-03-21 02:18,0.167,0.004,0,0,0,0,v
2024-03-21 02:24,0.139,0.004,0,0,0,0,v
2024-03-21 02:30,0.107,0.004,0,0,0,0,v
2024-03-21 02:36,0.079,0.004,0,0,0,0,v
2024-03-21 02:42,0.048,0.003,0,0,0,0,v
2024-03-21 02:48,0.020,0.004,0,0,0,0,v
2024-03-21 02:54,-0.012,0.004,0,0,0,0,v
2024-03-21 03:00,-0.038,0.014,0,0,0,0,v
2024-03-21 03:06,-0.059,0.009,0,0,0,0,v
2024-03-21 03:12,-0.083,0.005,0,0,0,0,v
2024-03-21 03:18,-0.106,0.005,0,0,0,0,v
2024-03-21 03:24,-0.131,0.004,0,0,0,0,v
2024-03-21 03:30,-0.153,0.007,0,0,0,0,v
2024-03-21 03:36,-0.177,0.009,0,0,0,0,v
2024-03-21 03:42,-0.200,0.007,0,0,0,0,v
2024-03-21 03:48,-0.223,0.008,0,0,0,0,v
2024-03-21 03:54,-0.246,0.008,0,0,0,0,v
2024-03-21 04:00,-0.272,0.010,0,0,0,0,v
2024-03-21 04:06,-0.297,0.011,0,0,0,0,v
2024-03-21 04:12,-0.322,0.008,0,0,0,0,v
2024-03-21 04:18,-0.345,0.011,0,0,0,0,v
2024-03-21 04:24,-0.367,0.008,0,0,0,0,v
2024-03-21 04:30,-0.391,0.008,0,0,0,0,v
2024-03-21 04:36,-0.416,0.010,0,0,0,0,v
2024-03-21 04:42,-0.442,0.010,0,0,0,0,v
2024-03-21 04:48,-0.463,0.009,0,0,0,0,v
2024-03-21 04:54,-0.484,0.009,0,0,0,0,v
2024-03-21 05:00,-0.506,0.009,0,0,0,0,v
2024-03-21 05:06,-0.521,0.010,0,0,0,0,v
2024-03-21 05:12,-0.537,0.009,0,0,0,0,v
