CMSDOCK Water level (NAVD88) (ft),Time ,Date
-1.57,10:30:00 AM,6/21/2022
-1.5,10:36:00 AM,6/21/2022
-1.43,10:42:00 AM,6/21/2022
-1.37,10:48:00 AM,6/21/2022
-1.3,10:54:00 AM,6/21/2022
-1.24,11:00:00 AM,6/21/2022
-1.16,11:06:00 AM,6/21/2022
-1.09,11:12:00 AM,6/21/2022
-1.02,11:18:00 AM,6/21/2022
-0.95,11:24:00 AM,6/21/2022
-0.88,11:30:00 AM,6/21/2022
-0.82,11:36:00 AM,6/21/2022
-0.75,11:42:00 AM,6/21/2022
-0.67,11:48:00 AM,6/21/2022
-0.6,11:54:00 AM,6/21/2022
-0.51,12:00:00 PM,6/21/2022
-0.43,12:06:00 PM,6/21/2022
-0.35,12:12:00 PM,6/21/2022
-0.26,12:18:00 PM,6/21/2022
-0.17,12:24:00 PM,6/21/2022
-0.09,12:30:00 PM,6/21/2022
0,12:36:00 PM,6/21/2022
0.09,12:42:00 PM,6/21/2022
0.18,12:48:00 PM,6/21/2022
0.27,12:54:00 PM,6/21/2022
0.36,1:00:00 PM,6/21/2022
0.44,1:06:00 PM,6/21/2022
0.53,1:12:00 PM,6/21/2022
0.61,1:18:00 PM,6/21/2022
0.69,1:24:00 PM,6/21/2022
0.77,1:30:00 PM,6/21/2022
0.85,1:36:00 PM,6/21/2022
0.93,1:42:00 PM,6/21/2022
1.01,1:48:00 PM,6/21/2022
1.09,1:54:00 PM,6/21/2022
1.17,2:00:00 PM,6/21/2022
1.25,2:06:00 PM,6/21/2022
1.32,2:12:00 PM,6/21/2022
1.39,2:18:00 PM,6/21/2022
1.45,2:24:00 PM,6/21/2022
1.52,2:30:00 PM,6/21/2022
1.58,2:36:00 PM,6/21/2022
1.64,2:42:00 PM,6/21/2022
1.68,2:48:00 PM,6/21/2022
1.73,2:54:00 PM,6/21/2022
1.78,3:00:00 PM,6/21/2022
1.82,3:06:00 PM,6/21/2022
1.86,3:12:00 PM,6/21/2022
1.89,3:18:00 PM,6/21/2022
1.91,3:24:00 PM,6/21/2022
1.93,3:30:00 PM,6/21/2022
1.94,3:36:00 PM,6/21/2022
1.95,3:42:00 PM,6/21/2022
1.94,3:48:00 PM,6/21/2022
1.91,3:54:00 PM,6/21/2022
1.87,4:00:00 PM,6/21/2022
1.81,4:06:00 PM,6/21/2022
1.75,4:12:00 PM,6/21/2022
1.68,4:18:00 PM,6/21/2022
1.61,4:24:00 PM,6/21/2022
1.53,4:30:00 PM,6/21/2022
1.47,4:36:00 PM,6/21/2022
1.4,4:42:00 PM,6/21/2022
1.34,4:48:00 PM,6/21/2022
1.27,4:54:00 PM,6/21/2022
1.21,5:00:00 PM,6/21/2022
1.15,5:06:00 PM,6/21/2022
1.09,5:12:00 PM,6/21/2022
1.02,5:18:00 PM,6/21/2022
0.96,5:24:00 PM,6/21/2022
0.9,5:30:00 PM,6/21/2022
0.84,5:36:00 PM,6/21/2022
0.77,5:42:00 PM,6/21/2022
0.71,5:48:00 PM,6/21/2022
0.64,5:54:00 PM,6/21/2022
0.57,6:00:00 PM,6/21/2022
0.5,6:06:00 PM,6/21/2022
0.44,6:12:00 PM,6/21/2022
0.37,6:18:00 PM,6/21/2022
0.29,6:24:00 PM,6/21/2022
0.23,6:30:00 PM,6/21/2022
0.16,6:36:00 PM,6/21/2022
0.09,6:42:00 PM,6/21/2022
0.01,6:48:00 PM,6/21/2022
-0.06,6:54:00 PM,6/21/2022
-0.14,7:00:00 PM,6/21/2022
-0.2,7:06:00 PM,6/21/2022
-0.28,7:12:00 PM,6/21/2022
-0.36,7:18:00 PM,6/21/2022
-0.43,7:24:00 PM,6/21/2022
-0.5,7:30:00 PM,6/21/2022
-0.57,7:36:00 PM,6/21/2022
-0.65,7:42:00 PM,6/21/2022
-0.72,7:48:00 PM,6/21/2022
-0.79,7:54:00 PM,6/21/2022
-0.85,8:00:00 PM,6/21/2022
-0.93,8:06:00 PM,6/21/2022
-0.99,8:12:00 PM,6/21/2022
-1.06,8:18:00 PM,6/21/2022
-1.13,8:24:00 PM,6/21/2022
-1.19,8:30:00 PM,6/21/2022
-1.26,8:36:00 PM,6/21/2022
-1.32,8:42:00 PM,6/21/2022
-1.39,8:48:00 PM,6/21/2022
-1.45,8:54:00 PM,6/21/2022
-1.51,9:00:00 PM,6/21/2022
-1.55,9:06:00 PM,6/21/2022
-1.59,9:12:00 PM,6/21/2022
-1.63,9:18:00 PM,6/21/2022
-1.66,9:24:00 PM,6/21/2022
-1.68,9:30:00 PM,6/21/2022
-1.7,9:36:00 PM,6/21/2022
-1.7,9:42:00 PM,6/21/2022
-1.71,9:48:00 PM,6/21/2022
-1.7,9:54:00 PM,6/21/2022
-1.68,10:00:00 PM,6/21/2022
-1.64,10:06:00 PM,6/21/2022
-1.61,10:12:00 PM,6/21/2022
-1.56,10:18:00 PM,6/21/2022
-1.51,10:24:00 PM,6/21/2022
